,name,code,state,year,pop04,Other_CC,Total_CC,FDH
0,Alabama,AL,1,2000,3519,431,20185,431
1,Alabama,AL,1,2001,3471,431,20185,431
2,Alabama,AL,1,2002,3537,431,20185,431
3,Alabama,AL,1,2003,46628,431,20185,431
4,Alabama,AL,1,2004,46477,431,20185,431
5,Alabama,AL,1,2005,62344,431,20185,431
6,Alabama,AL,1,2006,19501,431,20185,431
7,Alabama,AL,1,2007,19644,431,20185,431
8,Alabama,AL,1,2008,19917,431,20185,431
9,Alaska,AK,2,2005,45537,41,60,41
10,Alaska,AK,2,2006,45962,41,60,41
11,Alaska,AK,2,2007,46540,41,60,41
12,Alaska,AK,2,2008,47341,41,60,41
13,Alaska,AK,2,2009,49688,41,60,41
14,Alaska,AK,2,2010,50869,41,60,41
15,Alaska,AK,2,2011,52494,41,60,41
16,Alaska,AK,2,2012,52226,41,60,41
17,Alaska,AK,2,2013,52272,41,60,41
18,Alaska,AK,2,2014,52995,41,60,41
19,Alaska,AK,2,2015,52966,41,60,41
20,Alaska,AK,2,2016,52305,41,60,41
21,Alaska,AK,2,2017,52615,41,60,41
22,Alaska,AK,2,2018,52475,41,60,41
23,Alaska,AK,2,2019,51490,41,60,41
24,Alaska,AK,2,2020,51148,41,60,41
25,Arizona,AZ,4,2000,243291,130,29535,130
26,Arizona,AZ,4,2001,252449,130,29535,130
27,Arizona,AZ,4,2015,277137,130,29535,130
28,Arizona,AZ,4,2016,281759,130,29535,130
29,Arizona,AZ,4,2017,277362,130,29535,130
30,Arizona,AZ,4,2018,279161,130,29535,130
31,Arizona,AZ,4,2019,278509,130,29535,130
32,Arizona,AZ,4,2020,277315,130,29535,130
33,Arkansas,AR,5,2000,1752,412,3090,412
34,Arkansas,AR,5,2004,2842,412,3090,412
35,Arkansas,AR,5,2005,2846,412,3090,412
36,Arkansas,AR,5,2006,4268,412,3090,412
37,Arkansas,AR,5,2007,5948,412,3090,412
38,Arkansas,AR,5,2008,3721,412,3090,412
39,California,CA,6,2000,737293,494,285532,494
40,California,CA,6,2001,727371,494,285532,494
41,California,CA,6,2002,718285,494,285532,494
42,California,CA,6,2003,713768,494,285532,494
43,California,CA,6,2004,774889,494,285532,494
44,California,CA,6,2005,764785,494,285532,494
45,California,CA,6,2006,741864,494,285532,494
46,California,CA,6,2007,729217,494,285532,494
47,California,CA,6,2008,728260,494,285532,494
48,California,CA,6,2009,720584,494,285532,494
49,California,CA,6,2010,711591,494,285532,494
50,California,CA,6,2011,712632,494,285532,494
51,California,CA,6,2012,706822,494,285532,494
52,California,CA,6,2013,702852,494,285532,494
53,California,CA,6,2014,702775,494,285532,494
54,California,CA,6,2015,855074,494,285532,494
55,California,CA,6,2016,848182,494,285532,494
56,California,CA,6,2017,851554,494,285532,494
57,California,CA,6,2018,2480679,494,285532,494
58,California,CA,6,2019,2451528,494,285532,494
59,California,CA,6,2020,2409082,494,285532,494
60,Colorado,CO,8,2004,43443,462,13889,462
61,Colorado,CO,8,2005,44044,462,13889,462
62,Colorado,CO,8,2006,43361,462,13889,462
63,Colorado,CO,8,2007,42826,462,13889,462
64,Colorado,CO,8,2008,42796,462,13889,462
65,Colorado,CO,8,2009,59617,462,13889,462
66,Colorado,CO,8,2010,60063,462,13889,462
67,Colorado,CO,8,2011,60687,462,13889,462
68,Colorado,CO,8,2012,60492,462,13889,462
69,Colorado,CO,8,2013,59858,462,13889,462
70,Colorado,CO,8,2014,59765,462,13889,462
71,Colorado,CO,8,2015,59591,462,13889,462
72,Colorado,CO,8,2016,336999,462,13889,462
73,Colorado,CO,8,2017,334082,462,13889,462
74,Colorado,CO,8,2018,335083,462,13889,462
75,Colorado,CO,8,2019,333983,462,13889,462
76,Colorado,CO,8,2020,330840,462,13889,462
77,Connecticut,CT,9,2000,223181,113,9341,113
78,Connecticut,CT,9,2001,220088,113,9341,113
79,Connecticut,CT,9,2002,217269,113,9341,113
80,Connecticut,CT,9,2003,216866,113,9341,113
81,Connecticut,CT,9,2004,214447,113,9341,113
82,Connecticut,CT,9,2005,211315,113,9341,113
83,Connecticut,CT,9,2006,208812,113,9341,113
84,Connecticut,CT,9,2007,207326,113,9341,113
85,Connecticut,CT,9,2008,205536,113,9341,113
86,Connecticut,CT,9,2009,203201,113,9341,113
87,Connecticut,CT,9,2010,201325,113,9341,113
88,Connecticut,CT,9,2011,198010,113,9341,113
89,Connecticut,CT,9,2012,194491,113,9341,113
90,Connecticut,CT,9,2013,190965,113,9341,113
91,Connecticut,CT,9,2014,188890,113,9341,113
92,Connecticut,CT,9,2015,186748,113,9341,113
93,Connecticut,CT,9,2016,185321,113,9341,113
94,Connecticut,CT,9,2017,186188,113,9341,113
95,Connecticut,CT,9,2018,184983,113,9341,113
96,Connecticut,CT,9,2019,183808,113,9341,113
97,Connecticut,CT,9,2020,182708,113,9341,113
98,Delaware,DE,10,2004,33720,29,2478,29
99,Delaware,DE,10,2005,33957,29,2478,29
100,Delaware,DE,10,2006,33925,29,2478,29
101,Delaware,DE,10,2007,34003,29,2478,29
102,Delaware,DE,10,2008,33775,29,2478,29
103,Delaware,DE,10,2009,33554,29,2478,29
104,Delaware,DE,10,2010,33241,29,2478,29
105,Delaware,DE,10,2011,33279,29,2478,29
106,Delaware,DE,10,2012,33330,29,2478,29
107,Delaware,DE,10,2013,33160,29,2478,29
108,Delaware,DE,10,2014,33121,29,2478,29
109,Delaware,DE,10,2015,32910,29,2478,29
110,Delaware,DE,10,2016,32501,29,2478,29
111,Delaware,DE,10,2017,32860,29,2478,29
112,Delaware,DE,10,2018,32547,29,2478,29
113,Delaware,DE,10,2019,54830,29,2478,29
114,Delaware,DE,10,2020,54774,29,2478,29
115,Florida,FL,12,2001,109430,583,130362,583
116,Florida,FL,12,2003,58584,583,130362,583
117,Florida,FL,12,2004,207486,583,130362,583
118,Florida,FL,12,2005,215203,583,130362,583
