stFips,cty_fips,Year,pop04,center_count_cc,capacity_total_cc,center_count_fdh,capacity_total_fdh,center_count_other,capacity_total_other,center_tot,capacity_total,cc_desert
1,1073,2003,43237,,,1,0,,,1,0,1
1,1073,2004,43084,,,1,0,,,1,0,1
1,1073,2005,43091,,,1,0,,,1,0,1
1,1101,2005,15874,,,1,0,,,1,0,1
1,1101,2006,15975,,,1,0,,,1,0,1
1,1101,2007,15905,,,1,0,,,1,0,1
1,1101,2008,16000,,,1,0,,,1,0,1
1,1113,2000,3519,1,54,,,,,1,54,1
1,1113,2001,3471,1,54,,,,,1,54,1
1,1113,2002,3537,1,54,,,,,1,54,1
1,1113,2003,3391,1,54,,,,,1,54,1
1,1113,2004,3393,1,54,,,,,1,54,1
1,1113,2005,3379,1,54,,,,,1,54,1
1,1113,2006,3526,1,54,,,,,1,54,1
1,1113,2007,3739,1,54,,,,,1,54,1
1,1113,2008,3917,1,54,,,,,1,54,1
2,2013,2014,85,,,1,0,,,1,0,1
2,2013,2015,81,,,2,0,,,2,0,1
2,2013,2016,80,,,2,0,,,2,0,1
2,2013,2017,96,,,2,0,,,2,0,1
2,2013,2018,108,,,2,0,,,2,0,1
2,2013,2019,109,,,2,0,,,2,0,1
2,2013,2020,113,,,2,0,,,2,0,1
2,2013,2021,122,,,2,0,,,2,0,1
2,2013,2022,108,,,2,0,,,2,0,1
2,2013,2023,108,,,2,0,,,2,0,1
2,2016,2005,223,,,1,0,,,1,0,1
2,2016,2006,219,,,1,0,,,1,0,1
2,2016,2007,208,,,2,0,,,2,0,1
2,2016,2008,198,,,2,0,,,2,0,1
2,2016,2009,216,,,2,0,,,2,0,1
2,2016,2010,202,,,2,0,,,2,0,1
2,2016,2011,209,,,2,0,,,2,0,1
2,2016,2012,206,,,2,0,,,2,0,1
2,2016,2013,183,,,2,0,,,2,0,1
2,2016,2014,176,1,0,2,0,,,3,0,1
2,2016,2015,180,1,0,2,0,,,3,0,1
2,2016,2016,156,1,0,2,0,,,3,0,1
2,2016,2017,246,1,0,2,0,,,3,0,1
2,2016,2018,240,1,0,2,0,,,3,0,1
2,2016,2019,189,1,0,2,0,,,3,0,1
2,2016,2020,222,1,0,2,0,,,3,0,1
2,2016,2021,162,1,0,2,0,,,3,0,1
2,2016,2022,220,2,0,2,0,,,4,0,1
2,2016,2023,220,2,0,2,0,,,4,0,1
2,2020,2005,20531,34,2223,120,125,,,154,2348,1
2,2020,2006,20548,45,2364,159,141,,,204,2505,1
2,2020,2007,20379,75,3952,184,141,,,259,4093,1
2,2020,2008,20659,80,4343,209,162,,,289,4505,1
2,2020,2009,21661,91,4569,232,178,,,323,4747,1
2,2020,2010,22125,103,4585,261,214,,,364,4799,1
2,2020,2011,22356,108,4990,287,222,,,395,5212,1
2,2020,2012,22155,116,5074,318,238,,,434,5312,1
2,2020,2013,22380,124,5174,347,262,,,471,5436,1
2,2020,2014,22396,137,6077,389,363,,,526,6440,1
2,2020,2015,22033,150,6487,418,443,,,568,6930,1
2,2020,2016,21658,163,6816,452,507,,,615,7323,0
2,2020,2017,22025,173,7020,486,575,,,659,7595,0
2,2020,2018,21766,183,7338,519,642,,,702,7980,0
2,2020,2019,21197,192,7553,535,663,,,727,8216,0
2,2020,2020,20833,202,8180,555,716,,,757,8896,0
2,2020,2021,20218,214,8425,579,809,,,793,9234,0
2,2020,2022,19434,222,8585,596,838,,,818,9423,0
2,2020,2023,19434,222,8585,599,851,,,821,9436,0
2,2050,2005,1779,1,87,,,,,1,87,1
2,2050,2006,1773,1,87,,,,,1,87,1
