Total_CC,FDH,Other_CC,Year,State,County,cty_fips
0.0,1.0,0.0,2003,AL,Jefferson,1073
0.0,1.0,0.0,2004,AL,Jefferson,1073
0.0,1.0,0.0,2005,AL,Jefferson,1073
0.0,1.0,0.0,2005,AL,Montgomery,1101
0.0,1.0,0.0,2006,AL,Montgomery,1101
0.0,1.0,0.0,2007,AL,Montgomery,1101
0.0,1.0,0.0,2008,AL,Montgomery,1101
1.0,0.0,0.0,2000,AL,Russell,1113
1.0,0.0,0.0,2001,AL,Russell,1113
1.0,0.0,0.0,2002,AL,Russell,1113
1.0,0.0,0.0,2003,AL,Russell,1113
1.0,0.0,0.0,2004,AL,Russell,1113
1.0,0.0,0.0,2005,AL,Russell,1113
1.0,0.0,0.0,2006,AL,Russell,1113
1.0,0.0,0.0,2007,AL,Russell,1113
1.0,0.0,0.0,2008,AL,Russell,1113
0.0,1.0,0.0,2014,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2015,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2016,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2017,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2018,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2019,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2020,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2021,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2022,AK,Aleutians East Borough,2013
0.0,2.0,0.0,2023,AK,Aleutians East Borough,2013
0.0,1.0,0.0,2005,AK,Aleutians West Census Area,2016
0.0,1.0,0.0,2006,AK,Aleutians West Census Area,2016
0.0,2.0,0.0,2007,AK,Aleutians West Census Area,2016
0.0,2.0,0.0,2008,AK,Aleutians West Census Area,2016
0.0,2.0,0.0,2009,AK,Aleutians West Census Area,2016
0.0,2.0,0.0,2010,AK,Aleutians West Census Area,2016
0.0,2.0,0.0,2011,AK,Aleutians West Census Area,2016
0.0,2.0,0.0,2012,AK,Aleutians West Census Area,2016
0.0,2.0,0.0,2013,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2014,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2015,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2016,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2017,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2018,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2019,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2020,AK,Aleutians West Census Area,2016
1.0,2.0,0.0,2021,AK,Aleutians West Census Area,2016
2.0,2.0,0.0,2022,AK,Aleutians West Census Area,2016
2.0,2.0,0.0,2023,AK,Aleutians West Census Area,2016
34.0,120.0,0.0,2005,AK,Anchorage Municipality,2020
45.0,159.0,0.0,2006,AK,Anchorage Municipality,2020
75.0,184.0,0.0,2007,AK,Anchorage Municipality,2020
80.0,209.0,0.0,2008,AK,Anchorage Municipality,2020
91.0,232.0,0.0,2009,AK,Anchorage Municipality,2020
103.0,261.0,0.0,2010,AK,Anchorage Municipality,2020
108.0,287.0,0.0,2011,AK,Anchorage Municipality,2020
116.0,318.0,0.0,2012,AK,Anchorage Municipality,2020
124.0,347.0,0.0,2013,AK,Anchorage Municipality,2020
137.0,389.0,0.0,2014,AK,Anchorage Municipality,2020
150.0,418.0,0.0,2015,AK,Anchorage Municipality,2020
163.0,452.0,0.0,2016,AK,Anchorage Municipality,2020
173.0,486.0,0.0,2017,AK,Anchorage Municipality,2020
183.0,519.0,0.0,2018,AK,Anchorage Municipality,2020
192.0,535.0,0.0,2019,AK,Anchorage Municipality,2020
202.0,555.0,0.0,2020,AK,Anchorage Municipality,2020
214.0,579.0,0.0,2021,AK,Anchorage Municipality,2020
222.0,596.0,0.0,2022,AK,Anchorage Municipality,2020
222.0,599.0,0.0,2023,AK,Anchorage Municipality,2020
1.0,0.0,0.0,2005,AK,Bethel Census Area,2050
1.0,0.0,0.0,2006,AK,Bethel Census Area,2050
1.0,1.0,0.0,2007,AK,Bethel Census Area,2050
1.0,3.0,0.0,2008,AK,Bethel Census Area,2050
2.0,4.0,0.0,2009,AK,Bethel Census Area,2050
2.0,5.0,0.0,2010,AK,Bethel Census Area,2050
2.0,5.0,0.0,2011,AK,Bethel Census Area,2050
2.0,5.0,0.0,2012,AK,Bethel Census Area,2050
2.0,5.0,0.0,2013,AK,Bethel Census Area,2050
2.0,5.0,0.0,2014,AK,Bethel Census Area,2050
3.0,5.0,0.0,2015,AK,Bethel Census Area,2050
3.0,5.0,0.0,2016,AK,Bethel Census Area,2050
3.0,6.0,0.0,2017,AK,Bethel Census Area,2050
3.0,7.0,0.0,2018,AK,Bethel Census Area,2050
3.0,7.0,0.0,2019,AK,Bethel Census Area,2050
3.0,8.0,0.0,2020,AK,Bethel Census Area,2050
3.0,8.0,0.0,2021,AK,Bethel Census Area,2050
3.0,9.0,0.0,2022,AK,Bethel Census Area,2050
3.0,9.0,0.0,2023,AK,Bethel Census Area,2050
0.0,2.0,0.0,2005,AK,Bristol Bay Borough,2060
0.0,2.0,0.0,2006,AK,Bristol Bay Borough,2060
0.0,2.0,0.0,2007,AK,Bristol Bay Borough,2060
0.0,2.0,0.0,2008,AK,Bristol Bay Borough,2060
0.0,2.0,0.0,2009,AK,Bristol Bay Borough,2060
0.0,2.0,0.0,2010,AK,Bristol Bay Borough,2060
0.0,2.0,0.0,2011,AK,Bristol Bay Borough,2060
