Year,Total_CC,FDH,Other_CC,State,fips,County
2003,0.0,1.0,0.0,AL,1073,Jefferson
2004,0.0,1.0,0.0,AL,1073,Jefferson
2005,0.0,1.0,0.0,AL,1073,Jefferson
2005,0.0,1.0,0.0,AL,1101,Montgomery
2006,0.0,1.0,0.0,AL,1101,Montgomery
2007,0.0,1.0,0.0,AL,1101,Montgomery
2008,0.0,1.0,0.0,AL,1101,Montgomery
2000,1.0,0.0,0.0,AL,1113,Russell
2001,1.0,0.0,0.0,AL,1113,Russell
2002,1.0,0.0,0.0,AL,1113,Russell
2003,1.0,0.0,0.0,AL,1113,Russell
2004,1.0,0.0,0.0,AL,1113,Russell
2005,1.0,0.0,0.0,AL,1113,Russell
2006,1.0,0.0,0.0,AL,1113,Russell
2007,1.0,0.0,0.0,AL,1113,Russell
2008,1.0,0.0,0.0,AL,1113,Russell
2014,0.0,1.0,0.0,AK,2013,Aleutians East Borough
2015,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2016,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2017,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2018,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2019,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2020,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2021,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2022,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2023,0.0,2.0,0.0,AK,2013,Aleutians East Borough
2005,0.0,1.0,0.0,AK,2016,Aleutians West Census Area
2006,0.0,1.0,0.0,AK,2016,Aleutians West Census Area
2007,0.0,2.0,0.0,AK,2016,Aleutians West Census Area
2008,0.0,2.0,0.0,AK,2016,Aleutians West Census Area
2009,0.0,2.0,0.0,AK,2016,Aleutians West Census Area
2010,0.0,2.0,0.0,AK,2016,Aleutians West Census Area
2011,0.0,2.0,0.0,AK,2016,Aleutians West Census Area
2012,0.0,2.0,0.0,AK,2016,Aleutians West Census Area
2013,0.0,2.0,0.0,AK,2016,Aleutians West Census Area
2014,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2015,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2016,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2017,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2018,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2019,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2020,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2021,1.0,2.0,0.0,AK,2016,Aleutians West Census Area
2022,2.0,2.0,0.0,AK,2016,Aleutians West Census Area
2023,2.0,2.0,0.0,AK,2016,Aleutians West Census Area
2005,34.0,120.0,0.0,AK,2020,Anchorage Municipality
2006,45.0,159.0,0.0,AK,2020,Anchorage Municipality
2007,75.0,184.0,0.0,AK,2020,Anchorage Municipality
2008,80.0,209.0,0.0,AK,2020,Anchorage Municipality
2009,91.0,232.0,0.0,AK,2020,Anchorage Municipality
2010,103.0,261.0,0.0,AK,2020,Anchorage Municipality
2011,108.0,287.0,0.0,AK,2020,Anchorage Municipality
2012,116.0,318.0,0.0,AK,2020,Anchorage Municipality
2013,124.0,347.0,0.0,AK,2020,Anchorage Municipality
2014,137.0,389.0,0.0,AK,2020,Anchorage Municipality
2015,150.0,418.0,0.0,AK,2020,Anchorage Municipality
2016,163.0,452.0,0.0,AK,2020,Anchorage Municipality
2017,173.0,486.0,0.0,AK,2020,Anchorage Municipality
2018,183.0,519.0,0.0,AK,2020,Anchorage Municipality
2019,192.0,535.0,0.0,AK,2020,Anchorage Municipality
2020,202.0,555.0,0.0,AK,2020,Anchorage Municipality
2021,214.0,579.0,0.0,AK,2020,Anchorage Municipality
2022,222.0,596.0,0.0,AK,2020,Anchorage Municipality
2023,222.0,599.0,0.0,AK,2020,Anchorage Municipality
2005,1.0,0.0,0.0,AK,2050,Bethel Census Area
2006,1.0,0.0,0.0,AK,2050,Bethel Census Area
2007,1.0,1.0,0.0,AK,2050,Bethel Census Area
2008,1.0,3.0,0.0,AK,2050,Bethel Census Area
2009,2.0,4.0,0.0,AK,2050,Bethel Census Area
2010,2.0,5.0,0.0,AK,2050,Bethel Census Area
2011,2.0,5.0,0.0,AK,2050,Bethel Census Area
2012,2.0,5.0,0.0,AK,2050,Bethel Census Area
2013,2.0,5.0,0.0,AK,2050,Bethel Census Area
2014,2.0,5.0,0.0,AK,2050,Bethel Census Area
2015,3.0,5.0,0.0,AK,2050,Bethel Census Area
2016,3.0,5.0,0.0,AK,2050,Bethel Census Area
2017,3.0,6.0,0.0,AK,2050,Bethel Census Area
2018,3.0,7.0,0.0,AK,2050,Bethel Census Area
2019,3.0,7.0,0.0,AK,2050,Bethel Census Area
2020,3.0,8.0,0.0,AK,2050,Bethel Census Area
2021,3.0,8.0,0.0,AK,2050,Bethel Census Area
2022,3.0,9.0,0.0,AK,2050,Bethel Census Area
2023,3.0,9.0,0.0,AK,2050,Bethel Census Area
2005,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2006,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2007,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2008,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2009,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2010,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2011,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2012,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2013,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2014,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2015,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2016,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2017,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2018,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2019,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2020,0.0,2.0,0.0,AK,2060,Bristol Bay Borough
2021,1.0,2.0,0.0,AK,2060,Bristol Bay Borough
2022,1.0,2.0,0.0,AK,2060,Bristol Bay Borough
2023,1.0,2.0,0.0,AK,2060,Bristol Bay Borough
2005,1.0,0.0,0.0,AK,2068,Denali Borough
2006,1.0,0.0,0.0,AK,2068,Denali Borough
2007,1.0,1.0,0.0,AK,2068,Denali Borough
2008,2.0,2.0,0.0,AK,2068,Denali Borough
2009,2.0,2.0,0.0,AK,2068,Denali Borough
2010,2.0,2.0,0.0,AK,2068,Denali Borough
2011,2.0,2.0,0.0,AK,2068,Denali Borough
2012,2.0,2.0,0.0,AK,2068,Denali Borough
2013,3.0,2.0,0.0,AK,2068,Denali Borough
2014,3.0,2.0,0.0,AK,2068,Denali Borough
2015,3.0,2.0,0.0,AK,2068,Denali Borough
2016,3.0,2.0,0.0,AK,2068,Denali Borough
2017,3.0,2.0,0.0,AK,2068,Denali Borough
2018,3.0,2.0,0.0,AK,2068,Denali Borough
2019,3.0,2.0,0.0,AK,2068,Denali Borough
2020,3.0,2.0,0.0,AK,2068,Denali Borough
2021,3.0,2.0,0.0,AK,2068,Denali Borough
2022,3.0,2.0,0.0,AK,2068,Denali Borough
2023,3.0,2.0,0.0,AK,2068,Denali Borough
2005,0.0,10.0,0.0,AK,2070,Dillingham Census Area
2006,0.0,11.0,0.0,AK,2070,Dillingham Census Area
2007,1.0,12.0,0.0,AK,2070,Dillingham Census Area
2008,2.0,12.0,0.0,AK,2070,Dillingham Census Area
2009,2.0,12.0,0.0,AK,2070,Dillingham Census Area
2010,2.0,12.0,0.0,AK,2070,Dillingham Census Area
2011,2.0,12.0,0.0,AK,2070,Dillingham Census Area
2012,2.0,12.0,0.0,AK,2070,Dillingham Census Area
2013,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2014,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2015,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2016,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2017,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2018,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2019,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2020,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2021,2.0,13.0,0.0,AK,2070,Dillingham Census Area
2022,3.0,13.0,0.0,AK,2070,Dillingham Census Area
2023,3.0,13.0,0.0,AK,2070,Dillingham Census Area
2005,8.0,58.0,0.0,AK,2090,Fairbanks North Star Borough
2006,9.0,75.0,0.0,AK,2090,Fairbanks North Star Borough
2007,15.0,90.0,0.0,AK,2090,Fairbanks North Star Borough
2008,21.0,108.0,0.0,AK,2090,Fairbanks North Star Borough
2009,22.0,127.0,0.0,AK,2090,Fairbanks North Star Borough
