stFips,Year,state_name,state,pop,Total_CC,FDH,Other_CC
1,2000,Alabama,AL,3.52,1,0,0
1,2001,Alabama,AL,3.47,1,0,0
1,2002,Alabama,AL,3.54,1,0,0
1,2003,Alabama,AL,46.63,1,1,0
1,2004,Alabama,AL,46.48,1,1,0
1,2005,Alabama,AL,62.34,1,2,0
1,2006,Alabama,AL,19.5,1,1,0
1,2007,Alabama,AL,19.64,1,1,0
1,2008,Alabama,AL,19.92,1,1,0
2,2005,Alaska,AK,45.54,80,314,0
2,2006,Alaska,AK,45.96,94,413,0
2,2007,Alaska,AK,46.54,137,519,0
2,2008,Alaska,AK,47.34,153,610,0
2,2009,Alaska,AK,49.69,173,690,0
2,2010,Alaska,AK,50.87,199,777,0
2,2011,Alaska,AK,52.49,211,870,0
2,2012,Alaska,AK,52.23,232,942,0
2,2013,Alaska,AK,52.27,261,1036,0
2,2014,Alaska,AK,53,301,1168,0
2,2015,Alaska,AK,52.97,329,1248,0
2,2016,Alaska,AK,52.31,354,1338,0
2,2017,Alaska,AK,52.61,383,1408,0
2,2018,Alaska,AK,52.47,411,1485,0
2,2019,Alaska,AK,51.49,435,1556,0
2,2020,Alaska,AK,50.56,464,1600,0
2,2021,Alaska,AK,49.05,497,1651,0
2,2022,Alaska,AK,47.22,530,1700,0
2,2023,Alaska,AK,47.22,534,1705,0
4,2000,Arizona,AZ,243.29,0,1,0
4,2001,Arizona,AZ,252.45,0,1,0
4,2015,Arizona,AZ,277.14,1,0,0
4,2016,Arizona,AZ,281.76,1,1,0
4,2017,Arizona,AZ,277.36,1,1,0
4,2018,Arizona,AZ,279.16,1,1,0
4,2019,Arizona,AZ,278.51,1,0,0
4,2020,Arizona,AZ,277.32,1,0,0
4,2021,Arizona,AZ,265.64,1,0,0
4,2022,Arizona,AZ,259.47,1,0,0
4,2023,Arizona,AZ,259.47,1,0,0
4,2024,Arizona,AZ,259.47,1,0,0
5,2000,Arkansas,AR,1.75,0,1,0
5,2004,Arkansas,AR,2.84,0,1,0
5,2005,Arkansas,AR,2.85,0,3,0
5,2006,Arkansas,AR,4.27,0,2,0
5,2007,Arkansas,AR,5.95,0,3,0
5,2008,Arkansas,AR,3.72,0,2,0
6,2000,California,CA,737.29,0,1,0
6,2001,California,CA,727.37,0,1,0
6,2002,California,CA,718.29,0,1,0
6,2003,California,CA,713.77,0,1,0
6,2004,California,CA,774.89,1,2,0
6,2005,California,CA,764.79,1,2,0
6,2006,California,CA,741.86,1,1,0
6,2007,California,CA,729.22,1,1,0
6,2008,California,CA,728.26,1,1,0
6,2009,California,CA,720.58,1,1,0
6,2010,California,CA,711.59,1,1,0
6,2011,California,CA,712.63,1,1,0
6,2012,California,CA,706.82,1,1,0
6,2013,California,CA,702.85,1,1,0
6,2014,California,CA,702.78,1,1,0
6,2015,California,CA,855.07,2,1,0
6,2016,California,CA,848.18,2,1,0
6,2017,California,CA,851.55,2,1,0
6,2018,California,CA,2480.68,13078,14122,2249
6,2019,California,CA,2451.53,13295,14444,2260
6,2020,California,CA,2409.08,13195,14499,2297
6,2021,California,CA,2350.34,13194,14348,2290
6,2022,California,CA,2258.31,13287,14073,2261
6,2023,California,CA,2258.31,12832,13188,2128
6,2024,California,CA,2258.31,12779,13056,2114
8,2004,Colorado,CO,43.44,16,0,0
8,2005,Colorado,CO,44.04,20,0,0
8,2006,Colorado,CO,43.36,20,0,0
8,2007,Colorado,CO,42.83,19,0,0
8,2008,Colorado,CO,42.8,14,0,0
8,2009,Colorado,CO,59.62,12,0,0
8,2010,Colorado,CO,60.06,11,0,0
8,2011,Colorado,CO,60.69,11,0,0
8,2012,Colorado,CO,60.49,11,0,0
8,2013,Colorado,CO,59.86,11,0,0
8,2014,Colorado,CO,59.77,13,0,0
8,2015,Colorado,CO,59.59,12,0,0
8,2016,Colorado,CO,337,1274,498,4
8,2017,Colorado,CO,334.08,1594,804,6
8,2018,Colorado,CO,335.08,1718,882,6
8,2019,Colorado,CO,333.98,1762,914,7
8,2020,Colorado,CO,330.84,1803,929,7
8,2021,Colorado,CO,324.25,1882,965,7
8,2022,Colorado,CO,317.19,1985,1086,7
8,2023,Colorado,CO,317.19,2008,1103,7
8,2024,Colorado,CO,317.19,2006,1103,7
9,2000,Connecticut,CT,223.18,1210,1340,0
9,2001,Connecticut,CT,220.09,1165,1498,0
9,2002,Connecticut,CT,217.27,1140,1774,0
9,2003,Connecticut,CT,216.87,1092,2147,0
9,2004,Connecticut,CT,214.45,1081,2691,0
9,2005,Connecticut,CT,211.32,1142,2905,0
9,2006,Connecticut,CT,208.81,1195,3312,0
9,2007,Connecticut,CT,207.33,1254,3548,0
9,2008,Connecticut,CT,205.54,1294,3980,0
9,2009,Connecticut,CT,203.2,1346,4328,0
9,2010,Connecticut,CT,201.33,1372,4526,0
9,2011,Connecticut,CT,198.01,1377,4602,0
9,2012,Connecticut,CT,194.49,1380,4513,0
9,2013,Connecticut,CT,190.97,1367,4317,0
9,2014,Connecticut,CT,188.89,1309,3985,0
9,2015,Connecticut,CT,186.75,1232,3655,0
9,2016,Connecticut,CT,185.32,1231,3590,0
9,2017,Connecticut,CT,186.19,1209,3512,0
9,2018,Connecticut,CT,184.98,1145,3405,0
9,2019,Connecticut,CT,183.81,1086,3278,0
9,2020,Connecticut,CT,182.71,1087,3266,0
9,2021,Connecticut,CT,182.12,1080,3247,0
10,2004,Delaware,DE,33.72,2,0,0
10,2005,Delaware,DE,33.96,2,0,0
10,2006,Delaware,DE,33.93,2,0,0
10,2007,Delaware,DE,34,3,0,0
10,2008,Delaware,DE,33.78,2,0,0
10,2009,Delaware,DE,33.55,2,0,0
10,2010,Delaware,DE,33.24,2,0,0
10,2011,Delaware,DE,33.28,2,0,0
10,2012,Delaware,DE,33.33,2,0,0
10,2013,Delaware,DE,33.16,2,0,0
10,2014,Delaware,DE,33.12,2,0,0
10,2015,Delaware,DE,32.91,1,0,0
10,2016,Delaware,DE,32.5,1,0,0
10,2017,Delaware,DE,32.86,1,0,0
10,2018,Delaware,DE,32.55,2,0,0
10,2019,Delaware,DE,54.83,374,496,18
10,2020,Delaware,DE,54.77,394,424,17
10,2021,Delaware,DE,54.23,404,411,17
10,2022,Delaware,DE,53.99,444,427,17
