stFips,Year,Total_CC,FDH,Other_CC,state_name,state
1,2000,1,0,0,Alabama,AL
1,2001,1,0,0,Alabama,AL
1,2002,1,0,0,Alabama,AL
1,2003,1,1,0,Alabama,AL
1,2004,1,1,0,Alabama,AL
1,2005,1,2,0,Alabama,AL
1,2006,1,1,0,Alabama,AL
1,2007,1,1,0,Alabama,AL
1,2008,1,1,0,Alabama,AL
2,2005,80,314,0,Alaska,AK
2,2006,94,413,0,Alaska,AK
2,2007,137,519,0,Alaska,AK
2,2008,153,610,0,Alaska,AK
2,2009,173,690,0,Alaska,AK
2,2010,199,777,0,Alaska,AK
2,2011,211,870,0,Alaska,AK
2,2012,232,942,0,Alaska,AK
2,2013,261,1036,0,Alaska,AK
2,2014,301,1168,0,Alaska,AK
2,2015,329,1248,0,Alaska,AK
2,2016,354,1338,0,Alaska,AK
2,2017,383,1408,0,Alaska,AK
2,2018,411,1485,0,Alaska,AK
2,2019,435,1556,0,Alaska,AK
2,2020,464,1600,0,Alaska,AK
2,2021,497,1651,0,Alaska,AK
2,2022,530,1700,0,Alaska,AK
2,2023,534,1705,0,Alaska,AK
4,2000,0,1,0,Arizona,AZ
4,2001,0,1,0,Arizona,AZ
4,2015,1,0,0,Arizona,AZ
4,2016,1,1,0,Arizona,AZ
4,2017,1,1,0,Arizona,AZ
4,2018,1,1,0,Arizona,AZ
4,2019,1,0,0,Arizona,AZ
4,2020,1,0,0,Arizona,AZ
4,2021,1,0,0,Arizona,AZ
4,2022,1,0,0,Arizona,AZ
4,2023,1,0,0,Arizona,AZ
4,2024,1,0,0,Arizona,AZ
5,2000,0,1,0,Arkansas,AR
5,2004,0,1,0,Arkansas,AR
5,2005,0,3,0,Arkansas,AR
5,2006,0,2,0,Arkansas,AR
5,2007,0,3,0,Arkansas,AR
5,2008,0,2,0,Arkansas,AR
6,2000,0,1,0,California,CA
6,2001,0,1,0,California,CA
6,2002,0,1,0,California,CA
6,2003,0,1,0,California,CA
6,2004,1,2,0,California,CA
6,2005,1,2,0,California,CA
6,2006,1,1,0,California,CA
6,2007,1,1,0,California,CA
6,2008,1,1,0,California,CA
6,2009,1,1,0,California,CA
6,2010,1,1,0,California,CA
6,2011,1,1,0,California,CA
6,2012,1,1,0,California,CA
6,2013,1,1,0,California,CA
6,2014,1,1,0,California,CA
6,2015,2,1,0,California,CA
6,2016,2,1,0,California,CA
6,2017,2,1,0,California,CA
6,2018,13078,14122,2249,California,CA
6,2019,13295,14444,2260,California,CA
6,2020,13195,14499,2297,California,CA
6,2021,13194,14348,2290,California,CA
6,2022,13287,14073,2261,California,CA
6,2023,12832,13188,2128,California,CA
6,2024,12779,13056,2114,California,CA
8,2004,16,0,0,Colorado,CO
8,2005,20,0,0,Colorado,CO
8,2006,20,0,0,Colorado,CO
8,2007,19,0,0,Colorado,CO
8,2008,14,0,0,Colorado,CO
8,2009,12,0,0,Colorado,CO
8,2010,11,0,0,Colorado,CO
8,2011,11,0,0,Colorado,CO
8,2012,11,0,0,Colorado,CO
8,2013,11,0,0,Colorado,CO
8,2014,13,0,0,Colorado,CO
8,2015,12,0,0,Colorado,CO
8,2016,1274,498,4,Colorado,CO
8,2017,1594,804,6,Colorado,CO
8,2018,1718,882,6,Colorado,CO
8,2019,1762,914,7,Colorado,CO
8,2020,1803,929,7,Colorado,CO
8,2021,1882,965,7,Colorado,CO
8,2022,1985,1086,7,Colorado,CO
8,2023,2008,1103,7,Colorado,CO
8,2024,2006,1103,7,Colorado,CO
9,2000,1210,1340,0,Connecticut,CT
9,2001,1165,1498,0,Connecticut,CT
9,2002,1140,1774,0,Connecticut,CT
9,2003,1092,2147,0,Connecticut,CT
9,2004,1081,2691,0,Connecticut,CT
9,2005,1142,2905,0,Connecticut,CT
9,2006,1195,3312,0,Connecticut,CT
9,2007,1254,3548,0,Connecticut,CT
9,2008,1294,3980,0,Connecticut,CT
9,2009,1346,4328,0,Connecticut,CT
9,2010,1372,4526,0,Connecticut,CT
9,2011,1377,4602,0,Connecticut,CT
9,2012,1380,4513,0,Connecticut,CT
9,2013,1367,4317,0,Connecticut,CT
9,2014,1309,3985,0,Connecticut,CT
9,2015,1232,3655,0,Connecticut,CT
9,2016,1231,3590,0,Connecticut,CT
9,2017,1209,3512,0,Connecticut,CT
9,2018,1145,3405,0,Connecticut,CT
9,2019,1086,3278,0,Connecticut,CT
9,2020,1087,3266,0,Connecticut,CT
9,2021,1080,3247,0,Connecticut,CT
10,2004,2,0,0,Delaware,DE
10,2005,2,0,0,Delaware,DE
10,2006,2,0,0,Delaware,DE
10,2007,3,0,0,Delaware,DE
10,2008,2,0,0,Delaware,DE
10,2009,2,0,0,Delaware,DE
10,2010,2,0,0,Delaware,DE
10,2011,2,0,0,Delaware,DE
10,2012,2,0,0,Delaware,DE
10,2013,2,0,0,Delaware,DE
10,2014,2,0,0,Delaware,DE
10,2015,1,0,0,Delaware,DE
10,2016,1,0,0,Delaware,DE
10,2017,1,0,0,Delaware,DE
10,2018,2,0,0,Delaware,DE
10,2019,374,496,18,Delaware,DE
10,2020,394,424,17,Delaware,DE
10,2021,404,411,17,Delaware,DE
10,2022,444,427,17,Delaware,DE
10,2023,464,438,17,Delaware,DE
10,2024,462,430,18,Delaware,DE
12,2001,0,2,0,Florida,FL
12,2003,1,0,0,Florida,FL
12,2004,11,1,0,Florida,FL
12,2005,11,1,0,Florida,FL
12,2006,12,1,0,Florida,FL
12,2007,12,0,0,Florida,FL
12,2008,16,0,0,Florida,FL
12,2009,19,0,0,Florida,FL
12,2010,20,0,0,Florida,FL
12,2011,21,0,0,Florida,FL
12,2012,21,0,0,Florida,FL
12,2013,23,0,0,Florida,FL
12,2014,25,0,0,Florida,FL
12,2015,23,0,0,Florida,FL
12,2016,21,0,0,Florida,FL
12,2017,21,0,0,Florida,FL
12,2018,19,0,0,Florida,FL
12,2019,21,0,0,Florida,FL
12,2020,4473,1419,0,Florida,FL
12,2021,4888,1596,0,Florida,FL
12,2022,5404,1741,0,Florida,FL
12,2023,5487,1764,0,Florida,FL
12,2024,14,0,0,Florida,FL
13,2000,201,601,0,Georgia,GA
13,2001,542,1418,0,Georgia,GA
13,2002,800,2340,0,Georgia,GA
13,2003,1027,3532,0,Georgia,GA
13,2004,1129,4054,0,Georgia,GA
13,2005,1007,4247,0,Georgia,GA
13,2006,877,4811,0,Georgia,GA
13,2007,1004,4415,0,Georgia,GA
13,2008,1219,4524,0,Georgia,GA
13,2009,1387,4113,0,Georgia,GA
13,2010,1619,3181,0,Georgia,GA
13,2011,1795,2816,0,Georgia,GA
13,2012,1885,2450,0,Georgia,GA
13,2013,1951,2258,0,Georgia,GA
13,2014,1961,2067,0,Georgia,GA
13,2015,2009,1737,0,Georgia,GA
13,2016,2329,1411,0,Georgia,GA
13,2017,2372,1310,0,Georgia,GA
13,2018,2430,1237,0,Georgia,GA
13,2019,2493,1160,0,Georgia,GA
13,2020,2429,1076,0,Georgia,GA
13,2021,2495,1038,0,Georgia,GA
13,2022,2569,999,0,Georgia,GA
13,2023,2685,974,0,Georgia,GA
13,2024,2609,914,0,Georgia,GA
17,2000,66,129,0,Illinois,IL
